Country,Rank,Score,GDPperCapita,Family,Health,Freedom,Generosity,Trust,DystopiaResidual
Jordan,119,4.633,9.026,0.802,66.800,0.751,-0.163,0.700,1.262
Mozambique,120,4.624,7.069,0.724,54.206,0.864,0.032,0.683,2.221
Kenya,121,4.583,8.030,0.703,60.097,0.830,0.295,0.831,1.685
Namibia,122,4.571,9.203,0.847,56.501,0.768,-0.185,0.851,1.503
Ukraine,123,4.561,9.011,0.879,64.607,0.663,-0.031,0.921,1.253
Liberia,124,4.558,7.054,0.709,56.096,0.735,0.042,0.856,2.387
Palestinian Territories,125,4.553,8.389,0.825,62.250,0.646,-0.162,0.824,1.694
Uganda,126,4.432,7.500,0.765,55.708,0.732,0.099,0.837,1.959
Chad,127,4.423,7.468,0.632,48.221,0.587,0.018,0.803,2.747
Tunisia,128,4.392,9.315,0.689,66.898,0.593,-0.216,0.868,1.528
Mauritania,129,4.375,8.234,0.791,57.010,0.552,-0.106,0.746,1.860
Sri Lanka,130,4.327,9.390,0.825,67.200,0.838,0.081,0.859,0.611
Congo (Kinshasa),131,4.311,6.694,0.672,52.900,0.701,0.084,0.809,2.438
Swaziland,132,4.308,9.163,0.770,51.188,0.647,-0.199,0.708,1.686
Myanmar,133,4.308,8.680,0.784,58.962,0.895,0.561,0.645,0.681
Comoros,134,4.289,7.834,0.626,57.349,0.548,0.090,0.781,2.173
Togo,135,4.187,7.358,0.551,54.720,0.650,0.003,0.758,2.410
Ethiopia,136,4.186,7.509,0.743,58.640,0.741,0.043,0.754,1.628
Madagascar,137,4.166,7.282,0.668,59.105,0.558,-0.012,0.817,2.136
Egypt,138,4.151,9.317,0.735,61.780,0.708,-0.197,0.788,1.159
Sierra Leone,139,3.926,7.269,0.636,50.865,0.715,0.089,0.861,2.046
Burundi,140,3.775,6.493,0.490,53.400,0.626,-0.018,0.607,2.402
Zambia,141,3.759,8.225,0.699,55.299,0.807,0.078,0.801,1.134
Haiti,142,3.721,7.411,0.593,55.599,0.538,0.401,0.685,1.620
Lesotho,143,3.653,7.960,0.780,48.004,0.738,-0.146,0.857,1.446
India,144,3.573,8.850,0.592,60.215,0.881,0.058,0.772,0.734
Malawi,145,3.538,7.062,0.544,57.593,0.803,0.021,0.732,1.553
Yemen,146,3.527,7.760,0.818,56.727,0.600,-0.158,0.800,1.116
Botswana,147,3.479,9.711,0.779,58.924,0.821,-0.250,0.778,0.257
Tanzania,148,3.476,7.968,0.689,57.496,0.822,0.110,0.620,0.719
Central African Republic,149,3.476,6.625,0.319,45.200,0.641,0.082,0.892,2.860
Rwanda,150,3.312,7.600,0.541,61.099,0.901,0.055,0.184,0.548
Zimbabwe,151,3.299,7.866,0.763,55.617,0.711,-0.072,0.810,0.841
South Sudan,152,2.817,7.425,0.554,51.000,0.451,0.017,0.763,1.379
Afghanistan,153,2.567,7.463,0.470,52.590,0.397,-0.096,0.934,1.507
